Country Name,Exports,General Imports,Consumption Imports,year
 Tokelau,162,1410,1410,2003
 Tonga,88,3,3,2003
 Trinidad and Tobago,1209,1003,1003,2003
 Tunisia,69,34828,34794,2003
 Turkey,2605,1302961,1302389,2003
 Turkmenistan,             ,47105,47105,2003
 Turks and Caicos Islands,229,0,             ,2003
 Uganda,3,1628,1628,2003
 Ukraine,293,62852,62825,2003
 United Arab Emirates,8900,260439,261515,2003
 United Kingdom,101087,239094,237637,2003
 Uruguay,544,13091,13091,2003
 Uzbekistan,93,25126,25066,2003
 Vatican City,             ,1,1,2003
 Venezuela,6818,1372,1337,2003
 Vietnam,4334,2376972,2374331,2003
 West Bank admin. by Israel,             ,51,51,2003
 Yemen,17,1,1,2003
 Zimbabwe,6,4554,4554,2003
